timestamp,ip_address,status_code,request_method,resource
2026-02-24 10:00:01,192.168.1.5,200,GET,/home
2026-02-24 10:00:05,10.0.0.45,200,GET,/login
24/Feb/2026:10:00:10,192.168.1.5,200,GET,/assets/logo.png
2026-02-24 10:01:00,172.16.0.10,404,GET,/admin
2026-02-24 10:05:00,10.0.0.45,401,POST,/login
2026-02-24 10:05:01,10.0.0.45,401,POST,/login
2026-02-24 10:05:01,10.0.0.45,401,POST,/login
2026-02-24 10:05:02,10.0.0.45,401,POST,/login
2026-02-24 10:05:02,10.0.0.45,401,POST,/login
2026-02-24 10:05:02,10.0.0.45,401,POST,/login
2026-02-24 10:05:03,10.0.0.45,401,POST,/login
2026-02-24 10:05:03,10.0.0.45,401,POST,/login
2026-02-24 10:05:03,10.0.0.45,401,POST,/login
2026-02-24 10:05:04,10.0.0.45,401,POST,/login
2026-02-24 10:05:04,10.0.0.45,200,POST,/login
2026-02-24 10:10:00,192.168.1.10,200,GET,/dashboard
2026-02-24 10:10:05,192.168.1.10,200,GET,/settings
